schema_version,timestamp,cycle_id,capture_latency[ms],frame_dropped[n],hsv_flag,hsv_mask_ratio,infer_latency[ms],preproc[ms],postproc[ms],eject_flag,planned_eject_ts,eject_delay[ms],outcome_flag,cpu_temp,cpu_util[%],gpu_temp,gpu_util[%],gpu_clock[mhz],gpu_mem_used[mb],gpu_power[w]
1.0.0,2026-06-23 19:42:38.955,1,49.36,0,1,0.1104,12.1,0.5,0.29,0,,,,,5.2,55,13,2040,2331.348992,36.65
1.0.0,2026-06-23 19:42:41.341,1,,,,,,,,,2026-06-23 19:42:41.088,1.64,1,,,,,,,
1.0.0,2026-06-23 19:42:41.431,2,49.25,0,1,0.0851,10.95,0.51,0.27,1,,,,,4.8,56,9,2040,2331.144192,41.252
1.0.0,2026-06-23 19:42:42.759,2,,,,,,,,,2026-06-23 19:42:42.498,10.31,1,,,,,,,
1.0.0,2026-06-23 19:42:45.644,3,48.82,0,1,0.1179,12.44,0.5,0.28,1,,,,,5.7,56,9,2040,2326.4256,39.555
1.0.0,2026-06-23 19:42:46.965,3,,,,,,,,,2026-06-23 19:42:46.711,3.48,1,,,,,,,
1.0.0,2026-06-23 19:42:47.121,4,49.05,0,1,0.1228,11.38,0.52,0.28,0,,,,,3.6,56,10,2040,2321.772544,40.36
1.0.0,2026-06-23 19:42:49.514,4,,,,,,,,,2026-06-23 19:42:49.254,9.74,1,,,,,,,
1.0.0,2026-06-23 19:42:49.951,5,49.07,0,1,0.1379,11.59,0.52,0.28,1,,,,,4.3,56,13,2040,2321.707008,37.439
1.0.0,2026-06-23 19:42:51.273,5,,,,,,,,,2026-06-23 19:42:51.017,5.0,1,,,,,,,
1.0.0,2026-06-23 19:42:51.809,6,49.23,0,1,0.1084,11.76,0.51,0.3,0,,,,,3.9,56,13,2040,2321.707008,38.089
1.0.0,2026-06-23 19:42:54.194,6,,,,,,,,,2026-06-23 19:42:53.942,1.09,1,,,,,,,
1.0.0,2026-06-23 19:42:54.370,7,48.81,0,1,0.0797,12.63,0.5,0.28,0,,,,,3.9,56,8,2040,2321.772544,42.474
1.0.0,2026-06-23 19:42:56.756,7,,,,,,,,,2026-06-23 19:42:56.503,2.18,1,,,,,,,
1.0.0,2026-06-23 19:42:58.509,8,49.34,0,1,0.1129,11.84,0.51,0.28,1,,,,,4.9,56,10,2040,2321.772544,40.931
1.0.0,2026-06-23 19:42:59.829,8,,,,,,,,,2026-06-23 19:42:59.576,2.66,1,,,,,,,
1.0.0,2026-06-23 19:42:59.883,9,48.91,0,1,0.1214,12.67,0.51,0.29,0,,,,,3.9,56,11,2040,2321.83808,40.932
1.0.0,2026-06-23 19:43:02.280,9,,,,,,,,,2026-06-23 19:43:02.016,13.12,1,,,,,,,
1.0.0,2026-06-23 19:43:02.879,10,49.14,0,1,0.1375,13.48,0.5,0.3,1,,,,,4.5,56,10,2040,2322.296832,38.914
1.0.0,2026-06-23 19:43:04.201,10,,,,,,,,,2026-06-23 19:43:03.946,4.25,1,,,,,,,
1.0.0,2026-06-23 19:43:04.644,11,48.55,1,1,0.1024,12.39,0.51,0.28,0,,,,,5.2,56,10,2040,2322.362368,39.462
1.0.0,2026-06-23 19:43:06.982,12,49.12,0,1,0.0794,12.08,0.54,0.3,1,,,,,5.0,56,15,2040,2322.362368,37.556
1.0.0,2026-06-23 19:43:07.032,11,,,,,,,,,2026-06-23 19:43:06.778,4.01,1,,,,,,,
1.0.0,2026-06-23 19:43:08.309,12,,,,,,,,,2026-06-23 19:43:08.049,9.52,1,,,,,,,
1.0.0,2026-06-23 19:43:11.240,13,49.24,0,1,0.1194,12.68,0.53,0.29,1,,,,,4.2,56,2,2040,2317.512704,35.526
1.0.0,2026-06-23 19:43:12.570,13,,,,,,,,,2026-06-23 19:43:12.307,13.2,1,,,,,,,
1.0.0,2026-06-23 19:43:12.703,14,48.36,0,1,0.1229,11.57,0.51,0.29,0,,,,,4.1,56,11,2040,2317.512704,40.983
1.0.0,2026-06-23 19:43:15.097,14,,,,,,,,,2026-06-23 19:43:14.836,11.12,1,,,,,,,
1.0.0,2026-06-23 19:43:15.593,15,49.12,0,1,0.1391,11.16,0.51,0.3,1,,,,,7.9,56,10,2040,2317.512704,40.131
1.0.0,2026-06-23 19:43:16.919,15,,,,,,,,,2026-06-23 19:43:16.660,7.85,1,,,,,,,
1.0.0,2026-06-23 19:43:17.243,16,49.16,0,1,0.1176,11.34,0.5,0.29,0,,,,,5.6,56,2,2040,2317.512704,39.391
1.0.0,2026-06-23 19:43:19.630,16,,,,,,,,,2026-06-23 19:43:19.376,3.75,1,,,,,,,
1.0.0,2026-06-23 19:43:19.773,17,49.34,0,1,0.066,11.22,0.52,0.28,1,,,,,6.9,57,11,2040,2317.512704,39.568
1.0.0,2026-06-23 19:43:21.092,17,,,,,,,,,2026-06-23 19:43:20.839,1.52,1,,,,,,,
1.0.0,2026-06-23 19:43:24.072,18,48.78,0,1,0.1128,13.41,0.76,0.31,1,,,,,5.7,56,7,2040,2344.128512,37.26
1.0.0,2026-06-23 19:43:25.400,18,,,,,,,,,2026-06-23 19:43:25.138,10.59,1,,,,,,,
1.0.0,2026-06-23 19:43:25.584,19,49.31,0,1,0.123,13.88,0.7,0.33,0,,,,,5.3,57,10,2040,2342.03136,41.061
1.0.0,2026-06-23 19:43:27.977,19,,,,,,,,,2026-06-23 19:43:27.718,8.39,1,,,,,,,
1.0.0,2026-06-23 19:43:28.388,20,49.04,0,1,0.1427,13.42,0.62,0.33,1,,,,,5.4,57,13,2040,2317.971456,42.293
1.0.0,2026-06-23 19:43:29.711,20,,,,,,,,,2026-06-23 19:43:29.455,4.96,1,,,,,,,
1.0.0,2026-06-23 19:43:30.405,21,49.09,0,1,0.0958,13.79,0.69,0.32,0,,,,,5.7,57,13,2040,2317.971456,43.308
1.0.0,2026-06-23 19:43:32.798,21,,,,,,,,,2026-06-23 19:43:32.538,8.17,1,,,,,,,
1.0.0,2026-06-23 19:43:32.873,22,48.95,0,1,0.0943,14.43,0.73,0.34,0,,,,,4.5,57,9,2040,2317.971456,41.138
1.0.0,2026-06-23 19:43:35.259,22,,,,,,,,,2026-06-23 19:43:35.007,1.84,1,,,,,,,
1.0.0,2026-06-23 19:43:36.883,23,49.14,0,1,0.1122,14.0,0.63,0.34,1,,,,,4.9,57,10,2040,2317.971456,39.283
1.0.0,2026-06-23 19:43:38.213,23,,,,,,,,,2026-06-23 19:43:37.949,12.82,1,,,,,,,
1.0.0,2026-06-23 19:43:38.460,24,49.34,0,1,0.1215,14.25,0.73,0.33,0,,,,,5.3,57,8,2040,2317.971456,42.521
1.0.0,2026-06-23 19:43:40.849,24,,,,,,,,,2026-06-23 19:43:40.598,0.79,1,,,,,,,
1.0.0,2026-06-23 19:43:41.274,25,48.97,0,1,0.1324,13.43,0.75,0.35,1,,,,,5.8,56,7,2040,2317.971456,36.496
1.0.0,2026-06-23 19:43:42.604,25,,,,,,,,,2026-06-23 19:43:42.341,12.94,1,,,,,,,
1.0.0,2026-06-23 19:43:43.081,26,48.95,0,1,0.1014,13.88,0.66,0.3,0,,,,,4.2,56,9,2040,2317.971456,38.715
1.0.0,2026-06-23 19:43:45.468,26,,,,,,,,,2026-06-23 19:43:45.216,0.57,1,,,,,,,
1.0.0,2026-06-23 19:43:45.668,27,49.13,0,1,0.0702,14.26,0.7,0.32,1,,,,,5.8,57,11,2040,2317.971456,41.835
1.0.0,2026-06-23 19:43:46.991,27,,,,,,,,,2026-06-23 19:43:46.735,5.74,1,,,,,,,
1.0.0,2026-06-23 19:43:49.713,28,48.36,0,1,0.1188,14.35,0.72,0.31,1,,,,,4.9,57,8,2040,2317.971456,40.762
1.0.0,2026-06-23 19:43:51.030,28,,,,,,,,,2026-06-23 19:43:50.779,0.79,1,,,,,,,
1.0.0,2026-06-23 19:43:51.120,29,49.21,0,1,0.1251,14.18,0.67,0.32,0,,,,,5.9,57,7,2040,2317.971456,40.332
1.0.0,2026-06-23 19:43:53.514,29,,,,,,,,,2026-06-23 19:43:53.253,10.72,1,,,,,,,
1.0.0,2026-06-23 19:43:53.984,30,49.2,0,1,0.1344,14.68,0.7,0.34,1,,,,,5.6,57,10,2040,2317.971456,37.973
1.0.0,2026-06-23 19:43:55.302,30,,,,,,,,,2026-06-23 19:43:55.051,0.74,1,,,,,,,
1.0.0,2026-06-23 19:43:55.702,31,48.3,0,1,0.1156,14.88,0.75,0.32,0,,,,,4.9,57,8,2040,2317.971456,38.62
1.0.0,2026-06-23 19:43:58.090,31,,,,,,,,,2026-06-23 19:43:57.835,4.35,1,,,,,,,
1.0.0,2026-06-23 19:43:58.228,32,48.88,0,1,0.0653,15.67,0.74,0.35,0,,,,,4.5,56,1,2040,2317.971456,37.298
1.0.0,2026-06-23 19:44:00.619,32,,,,,,,,,2026-06-23 19:44:00.361,6.9,1,,,,,,,
1.0.0,2026-06-23 19:44:02.549,33,49.16,0,1,0.1152,15.06,0.7,0.31,1,,,,,6.7,57,13,2040,2317.971456,41.707
1.0.0,2026-06-23 19:44:03.878,33,,,,,,,,,2026-06-23 19:44:03.616,11.06,1,,,,,,,
1.0.0,2026-06-23 19:44:03.897,34,48.9,0,1,0.1231,13.89,0.72,0.31,0,,,,,4.7,57,10,2040,2317.971456,40.751
1.0.0,2026-06-23 19:44:06.285,34,,,,,,,,,2026-06-23 19:44:06.031,4.29,1,,,,,,,
1.0.0,2026-06-23 19:44:06.806,35,48.64,0,1,0.1424,14.58,0.67,0.33,1,,,,,5.4,57,5,2040,2317.971456,38.932
1.0.0,2026-06-23 19:44:08.134,35,,,,,,,,,2026-06-23 19:44:07.873,10.69,1,,,,,,,
1.0.0,2026-06-23 19:44:08.696,36,48.76,0,1,0.1034,14.89,0.62,0.33,0,,,,,5.0,57,13,2040,2317.971456,40.145
