schema_version,timestamp,cycle_id,capture_latency[ms],frame_dropped[n],hsv_flag,hsv_mask_ratio,infer_latency[ms],preproc[ms],postproc[ms],capture_sum[ms],capture_frames[n],hsv_sum[ms],hsv_frames[n],visible_frames[n],preproc_sum[ms],infer_sum[ms],infer_count[n],postproc_sum[ms],total_per_fruit[ms],visible_dur[s],cycle_dur[s],eject_flag,planned_eject_ts,eject_delay[ms],outcome_flag,yolo_no_det_flag,cpu_temp,cpu_util[%],gpu_temp,gpu_util[%],gpu_clock[mhz],gpu_mem_used[mb],gpu_power[w]
1.0.0,2026-08-05 02:55:58.763,1,49.23,0,1,0.2308,6.46,0.58,1.17,11975.51,1096,827.16,108,36,3.47,38.75,6,7.03,12851.92,0.125,15.844,1,,,,0,,9.9,52,4,2040,2312.88832,34.955
1.0.0,2026-08-05 02:55:59.915,2,49.12,0,1,0.1912,5.31,0.48,1.25,63.98,92,663.14,92,30,2.86,31.86,6,7.47,769.31,0.125,1.14,0,,,,0,,14.7,52,7,2040,2323.0464,36.214
1.0.0,2026-08-05 02:56:01.028,3,49.21,0,1,0.2119,6.43,0.58,3.75,62.06,90,591.69,90,24,6.99,77.16,12,45.03,782.93,0.203,1.125,1,,,,0,,0.0,53,13,2040,2323.0464,36.536
1.0.0,2026-08-05 02:56:01.337,1,,,,,,,,,,,,,,,,,,,,,2026-08-05 02:56:01.163,15.27,1,,,,,,,,
1.0.0,2026-08-05 02:56:02.123,4,49.34,0,1,0.1245,9.5,0.64,1.23,58.79,87,491.42,87,33,7.64,113.98,12,14.82,686.65,0.156,1.094,1,,,,0,,0.0,53,10,2040,2323.0464,36.691
1.0.0,2026-08-05 02:56:03.373,5,49.32,0,1,0.2004,7.0,0.63,1.3,68.79,100,638.82,100,26,7.52,83.99,12,15.59,814.71,0.156,1.25,1,,,,0,,11.7,53,15,2040,2313.019392,36.351
1.0.0,2026-08-05 02:56:03.596,3,,,,,,,,,,,,,,,,,,,,,2026-08-05 02:56:03.428,4.01,1,,,,,,,,
1.0.0,2026-08-05 02:56:04.144,2,,,,,,,,,,,,,,,,,,,,,2026-08-05 02:56:03.986,3.92,1,,,,,,,,
1.0.0,2026-08-05 02:56:04.678,6,39.28,0,1,0.193,5.71,0.51,1.26,73.16,105,603.02,104,27,6.11,68.52,12,15.14,765.95,0.188,1.297,0,,,,0,,14.3,53,6,2040,2311.5776,36.254
1.0.0,2026-08-05 02:56:04.682,4,,,,,,,,,,,,,,,,,,,,,2026-08-05 02:56:04.523,4.13,1,,,,,,,,
1.0.0,2026-08-05 02:56:05.669,7,57.87,0,1,0.1687,5.87,0.48,1.27,54.28,78,498.05,79,28,5.8,70.43,12,15.22,643.78,0.156,1.0,1,,,,0,,15.7,53,3,2040,2311.5776,36.72
1.0.0,2026-08-05 02:56:05.938,5,,,,,,,,,,,,,,,,,,,,,2026-08-05 02:56:05.773,6.33,1,,,,,,,,
1.0.0,2026-08-05 02:56:06.873,8,49.1,0,1,0.1952,5.92,0.52,1.27,72.77,97,600.22,97,27,6.2,71.08,12,15.27,765.54,0.156,1.203,1,,,,0,,14.5,53,3,2040,2311.5776,36.056
1.0.0,2026-08-05 02:56:08.027,9,49.3,0,1,0.1881,6.76,0.63,1.26,65.73,93,561.98,93,27,7.58,81.09,12,15.07,731.45,0.156,1.156,0,,,,0,,15.0,53,12,2040,2311.5776,36.681
1.0.0,2026-08-05 02:56:08.232,7,,,,,,,,,,,,,,,,,,,,,2026-08-05 02:56:08.069,4.11,1,,,,,,,,
1.0.0,2026-08-05 02:56:08.926,6,,,,,,,,,,,,,,,,,,,,,2026-08-05 02:56:08.749,14.99,1,,,,,,,,
1.0.0,2026-08-05 02:56:09.328,10,49.24,0,1,0.2364,10.2,0.62,1.35,71.77,104,695.36,104,22,7.38,122.38,12,16.18,913.07,0.156,1.297,1,,,,0,,11.9,53,11,2040,2311.5776,36.424
1.0.0,2026-08-05 02:56:09.438,8,,,,,,,,,,,,,,,,,,,,,2026-08-05 02:56:09.273,12.51,1,,,,,,,,
1.0.0,2026-08-05 02:56:10.564,11,49.31,0,1,0.195,5.75,0.55,1.23,99.89,98,582.42,98,25,6.54,68.96,12,14.78,772.59,0.265,1.234,0,,,,0,,14.1,53,13,2040,2311.5776,36.199
1.0.0,2026-08-05 02:56:11.573,12,49.26,0,1,0.2238,5.29,0.57,1.19,60.18,81,556.44,81,21,6.82,63.53,12,14.25,701.22,0.156,1.016,1,,,,0,,14.1,53,4,2040,2311.5776,36.757
1.0.0,2026-08-05 02:56:11.889,10,,,,,,,,,,,,,,,,,,,,,2026-08-05 02:56:11.728,3.94,1,,,,,,,,
1.0.0,2026-08-05 02:56:12.261,9,,,,,,,,,,,,,,,,,,,,,2026-08-05 02:56:12.099,7.9,1,,,,,,,,
1.0.0,2026-08-05 02:56:12.773,13,49.27,0,1,0.1925,6.16,0.68,1.22,64.12,97,562.36,97,26,8.13,73.92,12,14.69,723.22,0.203,1.203,0,,,,0,,15.3,53,3,2040,2311.5776,35.984
1.0.0,2026-08-05 02:56:13.827,14,49.22,0,1,0.2116,6.61,0.58,1.21,61.6,84,577.03,84,25,6.93,79.27,12,14.56,739.39,0.203,1.047,1,,,,0,,11.9,53,6,2040,2311.5776,36.552
1.0.0,2026-08-05 02:56:14.143,12,,,,,,,,,,,,,,,,,,,,,2026-08-05 02:56:13.973,11.46,1,,,,,,,,
1.0.0,2026-08-05 02:56:14.794,11,,,,,,,,,,,,,,,,,,,,,2026-08-05 02:56:14.636,4.12,1,,,,,,,,
1.0.0,2026-08-05 02:56:14.923,15,49.25,0,1,0.124,6.34,0.48,1.33,58.39,87,471.11,87,33,5.72,76.07,12,15.93,627.22,0.172,1.094,1,,,,0,,13.0,53,18,2040,2351.222784,36.655
1.0.0,2026-08-05 02:56:16.186,16,49.37,0,1,0.2009,7.89,0.69,1.66,77.51,102,656.82,102,26,8.24,94.73,12,19.92,857.22,0.171,1.265,1,,,,0,,14.5,53,10,2040,2351.095808,36.476
1.0.0,2026-08-05 02:56:16.396,14,,,,,,,,,,,,,,,,,,,,,2026-08-05 02:56:16.227,4.22,1,,,,,,,,
1.0.0,2026-08-05 02:56:17.010,13,,,,,,,,,,,,,,,,,,,,,2026-08-05 02:56:16.844,11.95,1,,,,,,,,
1.0.0,2026-08-05 02:56:17.465,17,49.19,0,1,0.1933,6.26,0.62,1.38,73.63,101,611.53,101,27,7.46,75.07,12,16.5,784.19,0.157,1.282,0,,,,0,,14.0,53,18,2040,2351.095808,36.024
1.0.0,2026-08-05 02:56:17.480,15,,,,,,,,,,,,,,,,,,,,,2026-08-05 02:56:17.323,4.38,1,,,,,,,,
1.0.0,2026-08-05 02:56:18.527,18,49.37,0,1,0.1685,6.01,0.54,1.34,64.15,86,613.94,86,27,6.53,72.15,12,16.05,772.82,0.156,1.062,1,,,,0,,14.0,53,7,2040,2351.095808,36.589
1.0.0,2026-08-05 02:56:18.750,16,,,,,,,,,,,,,,,,,,,,,2026-08-05 02:56:18.586,4.36,1,,,,,,,,
1.0.0,2026-08-05 02:56:19.685,19,49.17,0,1,0.1957,8.42,0.59,1.36,72.46,93,618.88,93,26,7.08,101.0,12,16.35,815.77,0.171,1.156,1,,,,0,,14.1,53,4,2040,2351.095808,36.43
1.0.0,2026-08-05 02:56:20.873,20,49.23,0,1,0.1881,6.08,0.65,1.25,75.5,94,575.76,94,27,7.76,72.94,12,15.0,746.96,0.188,1.188,0,,,,0,,14.2,53,4,2040,2352.013312,36.583
1.0.0,2026-08-05 02:56:21.097,18,,,,,,,,,,,,,,,,,,,,,2026-08-05 02:56:20.927,8.24,1,,,,,,,,
1.0.0,2026-08-05 02:56:21.694,17,,,,,,,,,,,,,,,,,,,,,2026-08-05 02:56:21.536,3.04,1,,,,,,,,
1.0.0,2026-08-05 02:56:22.123,21,49.16,0,1,0.237,5.22,0.53,1.18,70.42,100,647.2,100,23,6.35,62.6,12,14.14,800.71,0.156,1.25,1,,,,0,,14.8,53,12,2040,2352.013312,36.619
1.0.0,2026-08-05 02:56:22.247,19,,,,,,,,,,,,,,,,,,,,,2026-08-05 02:56:22.085,4.14,1,,,,,,,,
1.0.0,2026-08-05 02:56:23.365,22,35.22,0,1,0.1943,5.8,0.57,1.37,107.15,99,587.6,99,25,6.88,69.57,12,16.42,787.62,0.25,1.234,0,,,,0,,14.0,53,13,2040,2363.727872,36.388
1.0.0,2026-08-05 02:56:24.415,23,46.38,0,1,0.2238,6.18,0.59,1.24,60.62,84,570.52,84,22,7.07,74.19,12,14.82,727.22,0.187,1.047,1,,,,0,,14.6,53,17,2040,2379.636736,36.657
1.0.0,2026-08-05 02:56:24.697,21,,,,,,,,,,,,,,,,,,,,,2026-08-05 02:56:24.523,14.58,1,,,,,,,,
1.0.0,2026-08-05 02:56:25.106,20,,,,,,,,,,,,,,,,,,,,,2026-08-05 02:56:24.944,7.97,1,,,,,,,,
1.0.0,2026-08-05 02:56:25.577,24,49.27,0,1,0.1928,5.47,0.62,1.33,61.54,94,626.15,94,28,7.39,65.63,12,15.92,776.63,0.203,1.172,0,,,,0,,14.9,53,9,2040,2395.5456,36.399
1.0.0,2026-08-05 02:56:26.624,25,49.27,0,1,0.2126,5.85,0.53,1.19,57.85,83,597.08,83,24,6.36,70.26,12,14.23,745.78,0.172,1.047,1,,,,0,,14.9,53,7,2040,2341.15072,36.717
1.0.0,2026-08-05 02:56:26.975,23,,,,,,,,,,,,,,,,,,,,,2026-08-05 02:56:26.815,4.11,1,,,,,,,,
1.0.0,2026-08-05 02:56:27.617,22,,,,,,,,,,,,,,,,,,,,,2026-08-05 02:56:27.436,14.79,1,,,,,,,,
1.0.0,2026-08-05 02:56:27.716,26,49.41,0,1,0.123,6.09,0.48,1.23,64.54,87,495.0,87,33,5.81,73.08,12,14.77,653.2,0.141,1.094,1,,,,0,,15.4,53,13,2040,2403.581952,37.022
