schema_version,timestamp,cpu_temp,cpu_util[%],gpu_temp,gpu_util[%],gpu_clock[mhz],gpu_mem_used[mb],gpu_power[w],ram_used[mb],proc_rss[mb],disk_free[gb],queue_depth[n],torch_vram_alloc[mb],torch_vram_reserved[mb],cycles_total[n],dropped_logs[n]
1.0.0,2026-06-23 19:42:35.283,40.5,0.0,55,2,2040,2322.436096,35.962,19532.161024,1713.967104,586.705076224,42,71.338496,138.412032,1,0
1.0.0,2026-06-23 19:42:36.225,24.2,2.5,55,1,2040,2322.436096,35.529,19585.347584,1763.893248,586.705002496,80,71.338496,138.412032,1,0
1.0.0,2026-06-23 19:42:37.227,21.4,2.9,55,1,2040,2322.436096,35.393,19591.774208,1770.2912,586.705002496,80,71.338496,138.412032,1,0
1.0.0,2026-06-23 19:42:38.226,21.9,5.2,55,13,2040,2331.348992,36.65,19627.528192,1804.345344,586.704994304,80,71.339008,138.412032,1,0
1.0.0,2026-06-23 19:42:39.232,40.3,4.8,55,2,2040,2331.348992,42.235,19625.8816,1802.563584,586.704564224,80,71.338496,138.412032,2,0
1.0.0,2026-06-23 19:42:40.215,35.5,3.6,55,1,2040,2331.348992,36.183,19627.905024,1805.88544,586.704551936,80,71.338496,138.412032,2,0
1.0.0,2026-06-23 19:42:41.210,37.0,4.8,56,9,2040,2331.144192,41.252,19604.922368,1779.585024,586.704539648,80,71.338496,138.412032,2,0
1.0.0,2026-06-23 19:42:42.231,37.5,4.5,55,1,2040,2326.556672,38.219,19593.580544,1769.754624,586.704072704,80,71.338496,138.412032,3,0
1.0.0,2026-06-23 19:42:43.233,30.9,4.6,55,2,2040,2326.556672,35.123,19594.21952,1770.8032,586.70405632,80,71.338496,138.412032,3,0
1.0.0,2026-06-23 19:42:44.192,32.8,3.7,55,2,2040,2326.4256,35.171,19593.084928,1770.8032,586.704031744,80,71.338496,138.412032,3,0
1.0.0,2026-06-23 19:42:45.277,29.2,5.7,56,9,2040,2326.4256,39.555,19605.692416,1782.76352,586.70401536,80,71.339008,138.412032,3,0
1.0.0,2026-06-23 19:42:46.269,34.7,3.6,56,10,2040,2321.772544,40.36,19606.171648,1782.792192,586.703548416,80,71.339008,138.412032,4,0
1.0.0,2026-06-23 19:42:47.236,34.7,3.9,56,9,2040,2321.772544,42.878,19596.337152,1772.93312,586.703286272,80,71.338496,138.412032,5,0
1.0.0,2026-06-23 19:42:48.209,30.5,3.8,55,1,2040,2321.772544,35.901,19594.551296,1772.93312,586.703044608,80,71.338496,138.412032,5,0
1.0.0,2026-06-23 19:42:49.250,32.4,4.3,56,13,2040,2321.707008,37.439,19604.545536,1782.816768,586.703028224,80,71.339008,138.412032,5,0
1.0.0,2026-06-23 19:42:50.238,35.4,4.7,56,1,2040,2321.707008,41.93,19564.60544,1772.998656,586.702340096,80,71.338496,138.412032,6,0
1.0.0,2026-06-23 19:42:51.229,31.2,3.9,56,13,2040,2321.707008,38.089,19572.9408,1782.86592,586.702327808,80,71.339008,138.412032,6,0
1.0.0,2026-06-23 19:42:52.226,37.7,3.8,56,2,2040,2321.772544,41.066,19562.971136,1774.98112,586.70186496,80,71.338496,138.412032,7,0
1.0.0,2026-06-23 19:42:53.251,32.5,5.5,55,2,2040,2321.772544,36.427,19557.076992,1782.86592,586.701852672,80,71.339008,138.412032,7,0
1.0.0,2026-06-23 19:42:54.259,35.9,3.9,56,8,2040,2321.772544,42.474,19555.115008,1782.861824,586.701840384,80,71.338496,138.412032,7,0
1.0.0,2026-06-23 19:42:55.250,32.3,3.9,56,1,2040,2321.772544,37.578,19545.21088,1774.256128,586.701361152,80,71.338496,138.412032,8,0
1.0.0,2026-06-23 19:42:56.219,29.9,3.9,56,1,2040,2321.772544,35.354,19544.649728,1774.026752,586.701344768,80,71.338496,138.412032,8,0
1.0.0,2026-06-23 19:42:57.257,30.5,3.9,55,1,2040,2321.772544,35.397,19544.137728,1773.023232,586.70133248,80,71.338496,138.412032,8,0
1.0.0,2026-06-23 19:42:58.262,31.0,4.9,56,10,2040,2321.772544,40.931,19523.166208,1782.890496,586.701316096,80,71.338496,138.412032,8,0
1.0.0,2026-06-23 19:42:59.214,35.1,3.9,56,11,2040,2321.83808,40.932,19520.38912,1782.894592,586.700791808,80,71.339008,138.412032,9,0
1.0.0,2026-06-23 19:43:00.230,34.6,4.5,56,2,2040,2321.83808,41.318,19511.205888,1773.031424,586.70026752,80,71.338496,138.412032,10,0
1.0.0,2026-06-23 19:43:01.237,33.3,5.1,56,2,2040,2321.83808,35.333,19507.519488,1773.03552,586.700251136,80,71.338496,138.412032,10,0
1.0.0,2026-06-23 19:43:02.209,31.2,4.5,56,10,2040,2322.296832,38.914,19517.915136,1782.92736,586.700234752,80,71.339008,138.412032,10,0
1.0.0,2026-06-23 19:43:03.206,37.5,4.4,56,2,2040,2322.362368,41.441,19507.605504,1773.11744,586.699665408,80,71.339008,138.412032,11,0
